Time,Temperature,Insolation
9/22/23 20:25,19.5,0
9/22/23 20:30,19.5,0
9/22/23 20:35,19.5,0
9/22/23 20:40,19.5,0
9/22/23 20:45,19.4,0
9/22/23 20:50,19.3,0
9/22/23 20:55,19.2,0
9/22/23 21:00,19.2,0
9/22/23 21:05,19.1,0
9/22/23 21:10,19.1,0
9/22/23 21:15,19,0
9/22/23 21:20,19,0
9/22/23 21:25,19,0
9/22/23 21:30,19,0
9/22/23 21:35,19,0
9/22/23 21:40,19,0
9/22/23 21:45,19,0
9/22/23 21:50,18.9,0
9/22/23 21:55,18.9,0
9/22/23 22:00,18.8,0
9/22/23 22:05,18.8,0
9/22/23 22:10,18.8,0
9/22/23 22:15,18.9,0
9/22/23 22:20,18.9,0
9/22/23 22:25,18.8,0
9/22/23 22:30,18.7,0
9/22/23 22:35,18.8,0
9/22/23 22:40,18.9,0
9/22/23 22:45,18.8,0
9/22/23 22:50,18.7,0
9/22/23 22:55,18.8,0
9/22/23 23:00,18.8,0
9/22/23 23:05,18.8,0
9/22/23 23:10,18.7,0
9/22/23 23:15,18.5,0
9/22/23 23:20,18.3,0
9/22/23 23:25,18.1,0
9/22/23 23:30,17.8,0
9/22/23 23:35,17.6,0
9/22/23 23:40,17.6,0
9/22/23 23:45,17.7,0
9/22/23 23:50,17.8,0
9/22/23 23:55,17.7,0
